,x,y
1,5.746421327,0.473684211
2,5.746421327,0.5
3,5.212146946,0.621621622
4,5.212146946,0.775
5,5.14088086,0.95
6,5.14088086,0.868421053
7,5.066913125,0.447368421
8,5.066913125,0.525
9,4.989952397,0.85
10,4.989952397,0.921052632
11,4.18162189,0.975
12,4.18162189,1
13,3.917406367,0.45
14,3.917406367,0.684210526
15,3.897465911,0.666666667
16,3.897465911,0.684210526
17,3.655344072,0.473684211
18,3.655344072,0.65
19,3.606722027,0.95
20,3.606722027,0.973684211
21,3.212053892,1
22,3.212053892,0.975
23,2.865732553,1
24,2.865732553,0.975
25,2.462175295,0.947368421
26,2.462175295,0.975
27,2.355627889,0.575
28,2.355627889,0.657894737
29,2.057194463,0.35
30,2.057194463,0.526315789
31,1.942070195,0.825
32,1.942070195,0.710526316
33,1.881456539,0.55
34,1.881456539,0.815789474
35,1.778799329,0.85
36,1.778799329,0.894736842
37,1.726105433,0.315789474
38,1.726105433,0.275
39,1.704333555,0.868421053
40,1.704333555,0.925
41,1.632901047,0.975
42,1.632901047,0.894736842
43,1.613220845,0.6
44,1.613220845,0.789473684
45,1.601951972,0.605263158
46,1.601951972,0.675
47,1.595178993,0.868421053
48,1.595178993,0.85
49,1.594256134,0.684210526
50,1.594256134,0.9
51,1.584198076,0.6
52,1.584198076,0.763157895
53,1.569519587,0.5
54,1.569519587,0.4
55,1.564421934,0.75
56,1.564421934,0.810810811
57,1.561602998,0.45
58,1.561602998,0.513513514
59,1.458064422,0.825
60,1.458064422,0.789473684
61,1.406378498,0.894736842
62,1.406378498,0.95
63,1.371216217,0.95
64,1.371216217,0.921052632
65,1.322549854,0.684210526
66,1.322549854,0.925
67,1.27961299,0.875
68,1.27961299,0.921052632
69,1.267259425,0.578947368
70,1.267259425,0.65
71,1.248186175,0.9
72,1.248186175,0.868421053
73,1.232804139,0.5
74,1.232804139,0.605263158
75,1.019711142,0.894736842
76,1.019711142,0.9
77,0.993684107,0.9
78,0.993684107,0.842105263
79,0.991303371,0.289473684
80,0.991303371,0.35
81,0.93464561,0.525
82,0.93464561,0.552631579
83,0.902802477,0.894736842
84,0.902802477,0.85
85,0.813579138,0.921052632
86,0.813579138,0.975
87,0.805675006,0.605263158
88,0.805675006,0.625
89,0.750585434,0.625
90,0.750585434,0.736842105
91,0.671306101,0.6
92,0.671306101,0.789473684
93,0.635768927,0.179487179
94,0.635768927,0.315789474
95,0.634119295,0.175
96,0.634119295,0.342105263
97,0.533824148,0.789473684
98,0.533824148,0.95
99,0.489639419,0.35
100,0.489639419,0.394736842
101,0.452016494,0.405405405
102,0.452016494,0.5
103,0.43650303,0.575
104,0.43650303,0.657894737
105,0.419482987,0.35
106,0.419482987,0.736842105
107,0.387922781,0.763157895
108,0.387922781,0.9
109,0.347263314,0.657894737
110,0.347263314,0.8
111,0.34443085,0.275
112,0.34443085,0.368421053
113,0.336612187,0.95
114,0.336612187,0.868421053
115,0.195641566,0.710526316
116,0.195641566,0.625
117,0.183181954,0.925
118,0.183181954,0.815789474
119,0.182061069,0.225
120,0.182061069,0.078947368
121,0.093269708,0.45
122,0.093269708,0.315789474
123,0.052751805,0.45
124,0.052751805,0.605263158
125,0.001738173,0.5
126,0.001738173,0.65
